episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
1,-7.37000036239624,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_mixed_LR,1.027999999999997,28,
2,-7.300000190734863,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
3,-7.340000152587891,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
4,-7.330000400543213,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
5,-7.310000419616699,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
6,-7.330000400543213,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
7,-7.300000190734863,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,
8,-7.300000190734863,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_1,1.027999999999997,28,
9,-7.330000400543213,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
10,-7.300000190734863,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,
11,-7.2900004386901855,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_5,1.027999999999997,28,
12,-7.28000020980835,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
13,-7.350000381469727,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.027999999999997,28,
14,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.027999999999997,28,
15,-7.300000190734863,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
16,-7.340000152587891,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
17,-7.350000381469727,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
18,-7.310000419616699,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,hard,hard_complex_2,1.027999999999997,28,
19,-7.37000036239624,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,
20,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_left_center,1.027999999999997,28,
21,-7.320000171661377,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
22,-7.37000036239624,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.027999999999997,28,
23,-7.320000171661377,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
24,-7.2300004959106445,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_sides_B,1.0289999999999968,29,
25,-7.190000534057617,29,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0289999999999968,29,
26,-7.260000228881836,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0289999999999968,29,
27,-7.240000247955322,29,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_sides_B,1.0289999999999968,29,
28,-7.210000514984131,29,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0289999999999968,29,
29,-7.140000343322754,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0299999999999967,30,
30,-7.000000476837158,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
31,-7.060000419616699,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0309999999999966,31,
32,-7.030000686645508,31,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0309999999999966,31,
33,-6.9800004959106445,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0309999999999966,31,
34,-7.010000705718994,31,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0309999999999966,31,
35,-6.950000762939453,32,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0319999999999965,32,
36,-6.950000762939453,32,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0319999999999965,32,
37,-6.930000305175781,32,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0319999999999965,32,
38,-6.9300007820129395,32,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0319999999999965,32,
39,-5.830000877380371,33,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0329999999999964,33,
40,-7.330000400543213,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.027999999999997,28,
41,-7.360000133514404,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
42,-7.28000020980835,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.027999999999997,28,
43,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,
44,-7.300000190734863,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,
45,-7.340000152587891,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,hard,hard_complex_3,1.027999999999997,28,
46,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,
47,-7.250000476837158,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0289999999999968,29,
48,-7.329999923706055,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
49,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
50,-7.250000476837158,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,
51,-7.360000133514404,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
52,-7.0400004386901855,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
53,-7.0400004386901855,31,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0309999999999966,31,
54,-7.1100006103515625,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
55,-7.030000686645508,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
56,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_4,1.027999999999997,28,
57,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.027999999999997,28,
58,-7.320000171661377,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
59,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_all_A,1.027999999999997,28,
60,-7.1700005531311035,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0299999999999967,30,
61,-7.220000267028809,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0289999999999968,29,
62,-6.940000534057617,32,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0319999999999965,32,
63,0.3000057637691498,76,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0759999999999916,76,
64,-1.6800004243850708,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0759999999999916,76,
65,-0.7299970388412476,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_sides_block_2,1.0759999999999916,76,
